iso,year,month,nlsum
"AFG",2013,1,561584.49
"AFG",2013,2,535623.14
"AFG",2013,3,868548.66
"AFG",2013,4,605603.76
"AFG",2013,5,559717.47
"AFG",2013,6,443394.87
"AFG",2013,7,326449.36
"AFG",2013,8,480726.97
"AFG",2013,9,567755.07
"AFG",2013,10,1168886.4
"AFG",2013,11,847975.43
"AFG",2013,12,806299.88
"AFG",2014,1,653221.87
"AFG",2014,2,798852.99
"AFG",2014,3,691712.95
"AFG",2014,4,576938.01
"AFG",2014,5,545857.11
"AFG",2014,6,151720.25
"AFG",2014,7,518296.13
"AFG",2014,8,793648.28
"AFG",2014,9,708149.84
"AFG",2014,10,717616.2
"AFG",2014,11,156772.92
"AFG",2014,12,1173672.9
"AFG",2015,1,849872.81
"AFG",2015,2,1121775.5
"AFG",2015,3,884373.54
"AFG",2015,4,539731.23
"AFG",2015,5,385612.11
"AFG",2015,6,149899.57
"AFG",2015,7,376663.74
"AFG",2015,8,159861.21
"AFG",2015,9,413349.29
"AFG",2015,10,471097.84
"AFG",2015,11,703114
"AFG",2015,12,802151.28
"AFG",2016,1,248040.25
"AFG",2016,2,331377.87
"AFG",2016,3,308015.03
"AFG",2016,4,271445.23
"AFG",2016,5,532886.84
"AFG",2016,6,144928.31
"AFG",2016,7,252414.05
"AFG",2016,8,228458.5
"AFG",2016,9,516637.71
"AFG",2016,10,897974.91
"AFG",2016,11,339112.41
"AFG",2016,12,648321.07
"AFG",2017,1,1021094.7
"AFG",2017,2,1225211.1
"AFG",2017,3,1122934.9
"AFG",2017,4,1045104.2
"AFG",2017,5,1160875.4
"AFG",2017,6,546333.83
"AFG",2017,7,1224164.9
"AFG",2017,8,1262447
"AFG",2017,9,1353199.5
"AFG",2017,10,1775770.4
"AFG",2017,11,1459674.3
"AFG",2017,12,1060721.1
"AFG",2018,1,824737.61
"AFG",2018,2,1134807.9
"AFG",2018,3,1009714.8
"AFG",2018,4,1039661.8
"AFG",2018,5,1165627.8
"AFG",2018,6,500316.27
"AFG",2018,7,927945.61
"AFG",2018,8,979569.41
"AFG",2018,9,1020716
"AFG",2018,10,1334415.8
"AFG",2018,11,1348167.9
"AFG",2018,12,715067.14
"AFG",2019,1,856791.19
"AFG",2019,2,957829.04
"AFG",2019,3,1141991
"AFG",2019,4,1046477.7
"AFG",2019,5,1095819.6
"AFG",2019,6,535648.07
"AFG",2019,7,813801.11
"AFG",2019,8,768115.15
"AFG",2019,9,1009530.4
"AFG",2019,10,1398999.1
"AFG",2019,11,1196705.3
"AFG",2019,12,883241.04
"AFG",2020,1,622857.49
"AFG",2020,2,1219141.7
"AFG",2020,3,1064838.6
"AFG",2020,4,1116952.7
"AFG",2020,5,1243150.1
"AFG",2020,6,603915.33
"AFG",2020,7,1102191.1
"AFG",2020,8,1147067.4
"AFG",2020,9,1280885.1
"AFG",2020,10,1301982.4
"AFG",2020,11,1578792.4
"AFG",2020,12,1296874.8
"AFG",2021,1,1088987.7
"AFG",2021,2,1230123.7
"AFG",2021,3,1182435.4
"AFG",2021,4,1304894
"AFG",2021,5,1305657.2
"AFG",2021,6,836820.21
"AFG",2021,7,1116026.2
"AFG",2021,8,1647916.9
"AFG",2021,9,1131247
"AFG",2021,10,1647147.8
"AFG",2021,11,1392899.8
"AFG",2021,12,1422280.5
"AFG",2022,1,1296361.6
"AFG",2022,2,1535887.7
"AFG",2022,3,1398168.9
"AFG",2022,4,1498390.3
"AFG",2022,5,1481188.2
"AFG",2022,6,774746.27
"AFG",2022,7,422128.39
"AFG",2022,8,915071.84
"AFG",2022,9,1479215.1
"AFG",2022,10,1366815
"AFG",2022,11,1335492.6
"AFG",2022,12,1505359.1
"AFG",2023,1,1458705.5
"AFG",2023,2,1383304.6
"AFG",2023,3,1418519.6
"AFG",2023,4,1469255.3
"AFG",2023,5,1527030
"AFG",2023,6,721098.34
"AFG",2023,7,1255625.8
"AFG",2023,8,1549104.6
"AFG",2023,9,1728827.6
"AFG",2023,10,1648100.4
"AFG",2023,11,1929566.6
"AFG",2023,12,1291097.5
"AFG",2024,1,1462223.7
"AFG",2024,2,1397217.5
"AFG",2024,3,1760164.7
"AFG",2024,4,1554435.3
"AFG",2024,5,1253455.3
"AGO",2013,1,441151.03
"AGO",2013,2,884940.05
"AGO",2013,3,714595.71
"AGO",2013,4,622260.43
"AGO",2013,5,327277.14
"AGO",2013,6,515570.14
"AGO",2013,7,565938.81
"AGO",2013,8,755293.56
"AGO",2013,9,715937.97
"AGO",2013,10,965526.5
"AGO",2013,11,1117575.3
"AGO",2013,12,413811.96
"AGO",2014,1,747052.28
"AGO",2014,2,801866.92
"AGO",2014,3,969190.89
"AGO",2014,4,548481.2
"AGO",2014,5,253228.89
"AGO",2014,6,481390.5
"AGO",2014,7,701410.85
"AGO",2014,8,999776.76
"AGO",2014,9,594090.72
"AGO",2014,10,559523.45
"AGO",2014,11,256005.55
"AGO",2014,12,588582.16
"AGO",2015,1,1022831.9
"AGO",2015,2,1293783.5
"AGO",2015,3,682341.04
"AGO",2015,4,296938.46
"AGO",2015,5,256176.21
"AGO",2015,6,484553.02
"AGO",2015,7,583338.11
"AGO",2015,8,716492.22
"AGO",2015,9,753548.83
"AGO",2015,10,610668.28
"AGO",2015,11,763182.98
"AGO",2015,12,559383.89
"AGO",2016,1,279985.82
"AGO",2016,2,389310.65
"AGO",2016,3,509901.25
"AGO",2016,4,660191
"AGO",2016,5,496699.68
"AGO",2016,6,770844.1
"AGO",2016,7,751483.9
"AGO",2016,8,691933.95
"AGO",2016,9,609550.68
"AGO",2016,10,624062.77
"AGO",2016,11,613681.54
"AGO",2016,12,341108.24
"AGO",2017,1,985547.02
"AGO",2017,2,1669770.4
"AGO",2017,3,1638853.6
"AGO",2017,4,1919122.3
"AGO",2017,5,1270826.8
"AGO",2017,6,1013335.8
"AGO",2017,7,929270.83
"AGO",2017,8,1083613.2
