iso3,year,energy_per_capita,co2,co2_per_capita,life_expectancy,gdp_per_capita,gini,night_lights,electricity_access_pct,life_exp_female,life_exp_male
ABW,2001,50630.406,2.407,26.652,73.0437,40505.53,,,100.0,75.758,70.251
ABW,2005,62902.625,2.715,28.81,73.4152,40608.82,,,100.0,75.992,70.741
ABW,2010,51563.707,2.506,25.03,74.2973,35508.594,,,93.4,77.57,70.997
ABW,2015,48927.602,0.898,8.615,75.4054,35682.3,,,100.0,78.139,72.496
ABW,2020,42550.438,0.821,7.641,75.4061,28521.69,,,100.0,78.333,72.344
AFE,2001,,,,,,,,19.94427742,54.38783642,51.35162672
AFE,2005,,,,,,,,23.44953936,56.35770501,53.23594008
AFE,2010,,,,,,,,27.41495376,60.71896131,56.90910867
AFE,2015,,,,,,,,33.92227566,64.06347842,59.3596262
AFE,2020,,,,,,,,46.28237095,66.53667158,61.04809282
AFG,2001,179.892,1.069,0.053,55.5113,1454.1108,,,9.3,57.089,53.941
AFG,2005,205.469,1.89,0.077,58.2468,1908.1147,,,28.7,59.588,56.88
AFG,2010,1139.99,8.365,0.296,60.7018,2848.5862,,,42.7,62.283,59.097
AFG,2015,914.926,9.384,0.277,62.2695,2967.6921,,571458.51,71.5,64.178,60.363
AFG,2020,1200.743,11.119,0.285,61.4537,2769.6858,,1131554.0933333333,97.7,64.656,58.455
AFW,2001,,,,,,,,35.32326721,51.58519924,49.76666254
AFW,2005,,,,,,,,37.93591014,53.41158531,51.6946923
AFW,2010,,,,,,,,41.95199031,55.53905768,53.67116984
AFW,2015,,,,,,,,46.86241825,56.99519464,55.09408776
AFW,2020,,,,,,,,51.85604285,58.55368624,56.21916809
AGO,2001,1982.512,15.908,0.95,47.0323,6049.163,,,20.0,50.047,44.162
AGO,2005,1815.01,15.387,0.798,52.1295,7845.89,,,29.4,54.051,50.203
AGO,2010,3278.903,22.983,0.987,57.242,9672.839,,,35.0,59.221,55.253
AGO,2015,3852.957,27.505,0.977,61.042,9980.93,,668603.2033333333,42.0,63.412,58.68
AGO,2020,2281.594,16.549,0.495,63.1164,7556.968,,1588506.465,47.0,65.774,60.509
AIA,2001,,0.084,7.33,75.3965,,,,,,
AIA,2005,,0.11,8.944,76.3362,,,,,,
AIA,2010,,0.128,9.59,77.2078,,,,,,
AIA,2015,,0.136,9.524,77.7411,,,,,,
AIA,2020,,0.136,9.121,78.6562,,,,,,
ALB,2001,6383.81,3.221,1.023,75.083,7232.5757,,,99.4,78.031,72.204
ALB,2005,8044.503,4.261,1.385,76.4266,8963.804,0.30595654,,99.4,79.303,73.663
ALB,2010,7582.763,4.817,1.645,78.4141,11828.375,,,99.6,81.108,75.825
ALB,2015,8292.875,4.712,1.626,78.358,13156.332,0.32753733,80111.8925,100.0,80.451,76.281
ALB,2020,7352.949,4.865,1.694,77.8241,14662.796,0.2941963,118183.55583333333,100.0,80.345,75.429
AND,2001,,0.524,7.954,82.1618,59109.016,,,100.0,85.167,79.778
AND,2005,,0.579,7.476,83.086,65114.805,,,100.0,85.272,81.24
AND,2010,,0.517,6.4,84.1974,58285.06,,,100.0,86.684,82.138
AND,2015,,0.465,6.445,84.5316,62105.152,,,100.0,86.584,82.581
AND,2020,,0.377,4.876,79.4177,55488.492,,,100.0,83.84,75.823
ANT,2001,315762.594,,,,,,,,,
ANT,2005,317213.719,,,,,,,,,
